# lon lat depth_km normal_Pa shear_Pa coulomb_Pa
# strike 15.000000, dip 45.000000, rake 0.000000
12.318611 41.608108 1.000000 0.141715 -0.068028 -0.011342
12.327620 41.608108 1.000000 0.143905 -0.062640 -0.005078
12.336629 41.608108 1.000000 0.146064 -0.057198 0.001227
12.345638 41.608108 1.000000 0.148193 -0.051705 0.007572
12.354647 41.608108 1.000000 0.150290 -0.046162 0.013953
12.363656 41.608108 1.000000 0.152353 -0.040573 0.020368
12.372665 41.608108 1.000000 0.154381 -0.034941 0.026812
12.381674 41.608108 1.000000 0.156374 -0.029266 0.033283
12.390683 41.608108 1.000000 0.158329 -0.023554 0.039778
12.399692 41.608108 1.000000 0.160246 -0.017806 0.046292
12.408701 41.608108 1.000000 0.162124 -0.012027 0.052823
12.417710 41.608108 1.000000 0.163961 -0.006217 0.059367
12.426719 41.608108 1.000000 0.165755 -0.000382 0.065920
12.435728 41.608108 1.000000 0.167507 0.005475 0.072478
12.444737 41.608108 1.000000 0.169215 0.011352 0.079038
12.453746 41.608108 1.000000 0.170878 0.017245 0.085596
12.462755 41.608108 1.000000 0.172495 0.023149 0.092147
12.471764 41.608108 1.000000 0.174065 0.029063 0.098689
12.480773 41.608108 1.000000 0.175587 0.034981 0.105215
12.489782 41.608108 1.000000 0.177060 0.040900 0.111724
12.498791 41.608108 1.000000 0.178483 0.046816 0.118209
12.507800 41.608108 1.000000 0.179857 0.052725 0.124668
12.516809 41.608108 1.000000 0.181179 0.058623 0.131095
12.525818 41.608108 1.000000 0.182449 0.064507 0.137486
12.534827 41.608108 1.000000 0.183667 0.070371 0.143838
12.543836 41.608108 1.000000 0.184833 0.076212 0.150146
12.552845 41.608108 1.000000 0.185945 0.082026 0.156404
12.561854 41.608108 1.000000 0.187003 0.087809 0.162610
12.570863 41.608108 1.000000 0.188007 0.093555 0.168758
12.579872 41.608108 1.000000 0.188956 0.099261 0.174844
12.588881 41.608108 1.000000 0.189851 0.104923 0.180863
12.597890 41.608108 1.000000 0.190691 0.110535 0.186812
12.606899 41.608108 1.000000 0.191476 0.116095 0.192685
12.615908 41.608108 1.000000 0.192207 0.121596 0.198479
12.624917 41.608108 1.000000 0.192882 0.127036 0.204189
12.633926 41.608108 1.000000 0.193502 0.132410 0.209810
12.642935 41.608108 1.000000 0.194068 0.137712 0.215340
12.651944 41.608108 1.000000 0.194580 0.142940 0.220772
12.660953 41.608108 1.000000 0.195037 0.148089 0.226104
12.669962 41.608108 1.000000 0.195441 0.153154 0.231330
12.678971 41.608108 1.000000 0.195792 0.158131 0.236448
12.687980 41.608108 1.000000 0.196091 0.163017 0.241453
12.696989 41.608108 1.000000 0.196338 0.167806 0.246341
12.705998 41.608108 1.000000 0.196533 0.172496 0.251109
12.715007 41.608108 1.000000 0.196678 0.177081 0.255753
12.724016 41.608108 1.000000 0.196774 0.181559 0.260269
12.733025 41.608108 1.000000 0.196821 0.185926 0.264654
12.742035 41.608108 1.000000 0.196821 0.190177 0.268905
12.751044 41.608108 1.000000 0.196774 0.194309 0.273019
12.760053 41.608108 1.000000 0.196682 0.198319 0.276992
12.769062 41.608108 1.000000 0.196546 0.202204 0.280822
12.778071 41.608108 1.000000 0.196367 0.205959 0.284506
12.787080 41.608108 1.000000 0.196147 0.209583 0.288042
12.796089 41.608108 1.000000 0.195886 0.213072 0.291426
12.805098 41.608108 1.000000 0.195587 0.216423 0.294658
12.814107 41.608108 1.000000 0.195251 0.219634 0.297734
12.823116 41.608108 1.000000 0.194880 0.222702 0.300654
12.832125 41.608108 1.000000 0.194475 0.225625 0.303415
12.841134 41.608108 1.000000 0.194037 0.228401 0.306015
12.850143 41.608108 1.000000 0.193569 0.231027 0.308455
12.859152 41.608108 1.000000 0.193072 0.233502 0.310731
12.868161 41.608108 1.000000 0.192549 0.235825 0.312845
12.877170 41.608108 1.000000 0.192000 0.237994 0.314794
12.886179 41.608108 1.000000 0.191428 0.240007 0.316579
12.895188 41.608108 1.000000 0.190835 0.241865 0.318198
12.904197 41.608108 1.000000 0.190222 0.243565 0.319653
12.913206 41.608108 1.000000 0.189591 0.245107 0.320943
12.922215 41.608108 1.000000 0.188945 0.246491 0.322069
12.931224 41.608108 1.000000 0.188285 0.247717 0.323031
12.940233 41.608108 1.000000 0.187614 0.248784 0.323830
12.949242 41.608108 1.000000 0.186932 0.249694 0.324467
12.958251 41.608108 1.000000 0.186243 0.250446 0.324943
12.967260 41.608108 1.000000 0.185547 0.251040 0.325259
12.976269 41.608108 1.000000 0.184848 0.251479 0.325418
12.985278 41.608108 1.000000 0.184146 0.251763 0.325421
12.994287 41.608108 1.000000 0.183444 0.251892 0.325270
13.003296 41.608108 1.000000 0.182743 0.251870 0.324967
13.012305 41.608108 1.000000 0.182046 0.251697 0.324515
13.021314 41.608108 1.000000 0.181353 0.251375 0.323916
13.030323 41.608108 1.000000 0.180667 0.250907 0.323174
13.039332 41.608108 1.000000 0.179990 0.250294 0.322290
13.048341 41.608108 1.000000 0.179322 0.249540 0.321269
13.057350 41.608108 1.000000 0.178666 0.248647 0.320113
13.066359 41.608108 1.000000 0.178023 0.247617 0.318827
13.075368 41.608108 1.000000 0.177395 0.246454 0.317412
13.084377 41.608108 1.000000 0.176782 0.245162 0.315875
13.093386 41.608108 1.000000 0.176187 0.243743 0.314217
13.102395 41.608108 1.000000 0.175610 0.242200 0.312444
13.111404 41.608108 1.000000 0.175052 0.240539 0.310560
13.120413 41.608108 1.000000 0.174516 0.238762 0.308568
13.129422 41.608108 1.000000 0.174000 0.236873 0.306473
13.138431 41.608108 1.000000 0.173508 0.234877 0.304280
13.147440 41.608108 1.000000 0.173038 0.232778 0.301993
13.156449 41.608108 1.000000 0.172593 0.230580 0.299617
13.165458 41.608108 1.000000 0.172173 0.228287 0.297156
13.174467 41.608108 1.000000 0.171778 0.225904 0.294616
13.183476 41.608108 1.000000 0.171409 0.223437 0.292000
13.192485 41.608108 1.000000 0.171066 0.220888 0.289314
13.201494 41.608108 1.000000 0.170749 0.218264 0.286563
13.210503 41.608108 1.000000 0.170460 0.215568 0.283752
13.219512 41.608108 1.000000 0.170197 0.212806 0.280885
13.228521 41.608108 1.000000 0.169961 0.209983 0.277968
13.237530 41.608108 1.000000 0.169752 0.207104 0.275004
13.246539 41.608108 1.000000 0.169570 0.204172 0.272000
13.255548 41.608108 1.000000 0.169414 0.201195 0.268960
13.264557 41.608108 1.000000 0.169284 0.198175 0.265889
13.273566 41.608108 1.000000 0.169179 0.195119 0.262791
13.282575 41.608108 1.000000 0.169100 0.192031 0.259671
13.291584 41.608108 1.000000 0.169046 0.188915 0.256534
13.300593 41.608108 1.000000 0.169015 0.185778 0.253384
13.309602 41.608108 1.000000 0.169007 0.182623 0.250226
13.318611 41.608108 1.000000 0.169022 0.179455 0.247064
13.327620 41.608108 1.000000 0.169058 0.176280 0.243903
13.336629 41.608108 1.000000 0.169115 0.173100 0.240746
13.345638 41.608108 1.000000 0.169191 0.169922 0.237599
13.354647 41.608108 1.000000 0.169286 0.166749 0.234463
13.363656 41.608108 1.000000 0.169398 0.163586 0.231345
13.372665 41.608108 1.000000 0.169525 0.160437 0.228247
